what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407755812
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418407756859
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1418407761588
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1418407761664
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1418407762245
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1418407762254
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1418407762289
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1418407762290
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1418407762333
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1418407762335
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407763970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407765754
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418407767809
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418407784286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407786766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407868803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407901850
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407903822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407905593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407917635
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418407923558
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418407924406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418407946760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408115168
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408174952
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408263332
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408269312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408468289
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408469728
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1418408470947
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418408471121
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1418408472019
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1418408472045
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1418408472045
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1418408472045
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1418408472063
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1418408472081
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1418408472082
