what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Oracle Corporation",1418379001166
java.version,sysinfo,,,"1.7.0_65",1418379001166
java.vm.info,sysinfo,,,"mixed mode",1418379001166
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1418379001166
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418379001166
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418379001166
java.vm.specification.version,sysinfo,,,"1.7",1418379001166
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418379001166
java.vm.version,sysinfo,,,"24.65-b04",1418379001166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418379988920
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418379994688
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418379999023
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418379999117
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418379999138
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380000219
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380007486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380009605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380031564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380087980
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1418380090087
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1418380091574
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1418380091594
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1418380091719
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1418380091831
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418380097663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418380102925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418380103112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418380103256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380104852
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380198105
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380199396
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418380203060
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380203238
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380203335
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418380203353
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1418380203852
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380205225
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1418380205242
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380206469
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418380244284
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1418380253149
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418380262836
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418381510700
